Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,202,16,T:System.Drawing.Drawing2D.PixelOffsetMode,,,,,g.PixelOffsetMode = Drawing2D.PixelOffsetMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,202,16,T:System.Drawing.Drawing2D.PixelOffsetMode,,,,,g.PixelOffsetMode = Drawing2D.PixelOffsetMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,202,16,F:System.Drawing.Drawing2D.PixelOffsetMode.None,,,,,g.PixelOffsetMode = Drawing2D.PixelOffsetMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,202,16,T:System.Drawing.Drawing2D.PixelOffsetMode,,,,,g.PixelOffsetMode = Drawing2D.PixelOffsetMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,202,16,P:System.Drawing.Graphics.PixelOffsetMode,,,,,g.PixelOffsetMode = Drawing2D.PixelOffsetMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,201,16,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = Drawing2D.InterpolationMode.NearestNeighbor
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,201,16,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = Drawing2D.InterpolationMode.NearestNeighbor
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,201,16,F:System.Drawing.Drawing2D.InterpolationMode.NearestNeighbor,,,,,g.InterpolationMode = Drawing2D.InterpolationMode.NearestNeighbor
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,201,16,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = Drawing2D.InterpolationMode.NearestNeighbor
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,201,16,P:System.Drawing.Graphics.InterpolationMode,,,,,g.InterpolationMode = Drawing2D.InterpolationMode.NearestNeighbor
